Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Columbia,685292,236.51,26.39,20.88,23.93,30.45,27.61,25.18,17.99,11.92,8.39,8.72,13.57,21.46
Bute,9740,18.41,0.59,0.49,0.44,0.41,1.57,2.62,3.45,3.54,1.66,1.64,1.30,0.71
Caamano,30858,79.48,6.89,2.85,2.87,2.65,6.61,9.54,9.56,7.80,4.72,9.18,9.42,7.39
EVI_N,9709,20.34,2.31,1.57,1.49,1.52,1.86,1.26,0.78,0.61,0.34,2.33,3.96,2.31
EVI_S,6510,9.70,1.15,1.09,0.92,0.61,0.64,0.32,0.15,0.25,0.06,0.87,1.74,1.89
Fraser,235396,112.74,5.13,4.05,4.35,4.24,15.28,22.12,16.25,14.77,4.32,7.78,8.51,5.93
Hakai,32520,46.95,2.70,1.00,1.56,1.44,4.51,6.82,6.15,6.73,2.80,5.02,5.30,2.93
Howe,6234,18.02,0.82,0.79,0.74,0.72,2.11,2.32,2.36,2.21,0.96,2.11,1.61,1.28
JdF,5356,13.55,2.09,1.43,1.10,0.57,0.65,0.24,0.06,0.19,0.06,1.53,2.31,3.32
Jervis,5785,9.57,0.93,0.75,0.67,0.45,0.93,0.83,0.70,0.58,0.17,1.09,1.47,1.01
Knight,19437,36.88,1.59,0.68,1.19,1.16,3.86,5.00,5.21,6.08,2.91,3.87,3.85,1.48
Nass,55242,96.04,6.21,5.49,3.62,4.56,10.09,13.54,9.46,8.64,4.25,11.91,10.75,7.52
Puget,17080,17.43,2.47,1.91,1.33,0.94,1.31,1.11,0.98,1.36,0.20,1.34,1.57,2.91
HG_Dixon,4551,9.26,1.16,0.87,0.64,0.37,0.28,0.37,0.11,0.16,0.28,1.86,1.77,1.39
HG_East,4248,17.00,2.23,1.55,1.59,1.45,1.04,0.70,0.57,0.54,0.95,2.12,2.00,2.26
HG_West,3245,12.38,1.49,1.05,0.92,0.47,0.46,0.67,0.18,0.28,0.40,2.53,2.20,1.72
Skagit,15467,32.45,4.09,2.96,2.32,2.10,3.01,2.85,2.43,1.66,0.80,2.47,3.25,4.51
Skeena,56272,47.82,1.55,1.12,0.89,1.58,8.23,11.30,6.96,4.58,2.16,3.83,3.64,1.99
Stikine,75670,94.32,6.78,5.75,3.99,2.86,6.40,9.88,8.97,10.41,5.66,14.14,9.94,9.54
Toba,3892,9.06,0.40,0.47,0.31,0.47,1.12,0.98,0.81,0.90,0.75,1.43,0.90,0.53
WC,15882,36.76,5.75,3.96,3.18,1.45,2.02,1.13,0.33,1.10,0.28,3.72,5.96,7.87
WVI,16932,51.13,5.34,3.32,3.74,2.41,5.03,3.52,0.83,3.03,0.64,5.96,10.71,6.60
Columbia,685292,218.42,23.88,20.55,19.71,23.71,23.53,22.13,15.39,13.24,8.36,12.44,13.89,21.60
Bute,9740,18.98,0.57,0.54,0.65,0.60,1.51,2.98,4.25,3.85,1.92,0.89,0.50,0.72
Caamano,30858,95.55,7.90,4.71,5.99,4.20,10.96,11.45,11.15,8.58,6.06,10.54,6.04,7.98
EVI_N,9709,18.79,2.45,1.61,1.73,1.61,1.88,1.36,0.89,0.55,0.30,1.76,2.31,2.36
EVI_S,6510,8.30,1.52,1.24,1.14,0.65,0.75,0.42,0.25,0.22,0.08,0.36,0.51,1.15
Fraser,235396,120.25,5.31,4.26,5.04,5.86,17.42,25.90,19.56,15.62,6.08,5.45,4.55,5.21
Hakai,32520,59.27,3.51,2.58,2.77,2.11,6.74,9.10,8.74,7.51,3.19,4.94,3.03,5.04
Howe,6234,17.69,0.61,0.76,0.94,1.10,2.67,3.12,2.56,2.24,1.24,0.96,0.61,0.88
JdF,5356,11.87,2.85,2.26,1.68,0.80,0.77,0.28,0.23,0.19,0.13,0.61,0.73,1.35
Jervis,5785,7.85,0.59,0.60,0.83,0.58,0.91,0.95,0.71,0.55,0.24,0.50,0.50,0.87
Knight,19437,42.03,1.77,1.03,1.86,1.71,4.55,6.29,7.97,6.88,3.61,2.63,1.65,2.09
Nass,55242,100.16,7.23,5.77,5.79,4.18,13.28,15.27,11.52,8.97,5.98,9.88,5.34,6.94
Puget,17080,13.33,2.08,1.95,1.25,1.07,1.15,1.08,1.32,1.36,0.31,0.44,0.47,0.85
HG_Dixon,4551,9.27,1.53,0.86,0.90,0.39,0.69,0.40,0.29,0.23,0.48,1.15,1.00,1.37
HG_East,4248,17.19,2.01,1.66,1.72,1.66,1.07,0.72,0.44,0.46,0.85,2.25,1.94,2.40
HG_West,3245,12.81,1.94,1.04,1.36,0.62,1.17,0.81,0.51,0.44,0.67,1.43,1.13,1.69
Skagit,15467,26.61,3.42,3.01,2.18,2.27,2.91,3.02,2.79,1.74,0.87,1.22,1.44,1.76
Skeena,56272,54.90,1.81,1.19,1.45,1.63,10.48,13.98,8.97,4.57,2.71,4.16,2.00,1.95
Stikine,75670,92.34,7.09,6.03,5.61,3.37,8.25,11.33,11.23,10.98,8.08,8.76,4.40,7.19
Toba,3892,7.82,0.33,0.43,0.44,0.62,0.95,1.04,0.98,0.84,0.80,0.64,0.27,0.48
WC,15882,28.57,6.17,4.75,3.93,1.70,1.96,1.32,1.46,1.10,0.49,1.25,1.61,2.82
WVI,16932,53.43,5.93,4.92,5.53,3.34,7.25,4.93,4.05,2.81,1.18,3.12,3.47,6.89
Columbia,685292,205.54,21.45,20.53,18.85,26.35,24.92,23.21,16.76,13.58,8.72,9.04,9.77,12.38
Bute,9740,14.82,0.53,0.08,0.67,0.43,1.20,2.02,3.18,2.55,1.81,0.92,0.83,0.61
Caamano,30858,72.50,3.50,4.84,4.77,5.31,5.40,9.21,8.49,4.30,4.57,9.90,9.04,3.18
EVI_N,9709,19.47,2.11,1.38,1.82,1.43,1.97,1.29,0.86,0.42,0.63,2.10,3.19,2.26
EVI_S,6510,8.96,0.64,1.40,1.08,0.60,0.99,0.26,0.29,0.16,0.28,0.73,1.49,1.05
Fraser,235396,103.17,3.66,3.23,4.88,6.06,14.86,16.68,18.21,11.03,8.39,4.77,6.50,4.90
Hakai,32520,46.51,1.92,1.53,2.87,2.51,4.21,7.01,7.68,4.58,4.47,3.98,3.92,1.83
Howe,6234,15.71,0.56,0.57,0.65,0.84,2.63,1.69,2.33,1.51,1.29,1.41,1.44,0.79
JdF,5356,11.51,1.13,1.30,1.79,0.67,0.84,0.19,0.18,0.15,0.27,0.84,2.06,2.10
Jervis,5785,8.38,0.60,0.51,0.60,0.46,1.07,0.63,0.76,0.44,0.48,0.86,1.25,0.71
Knight,19437,32.94,1.27,0.51,2.05,1.31,2.65,4.25,6.02,4.34,3.89,2.86,2.55,1.24
Nass,55242,91.30,3.08,5.07,6.47,5.72,9.42,11.59,8.81,7.20,7.23,11.32,9.66,5.73
Puget,17080,15.15,0.64,0.94,1.63,0.59,2.13,0.89,0.96,1.36,0.98,0.61,1.70,2.71
HG_Dixon,4551,9.18,0.47,1.06,1.01,0.73,0.43,0.28,0.17,0.14,0.46,1.74,1.72,0.97
HG_East,4248,16.77,2.15,1.72,1.65,1.36,1.03,0.72,0.42,0.39,0.88,2.24,2.06,2.16
HG_West,3245,12.54,0.58,1.31,1.46,1.14,0.76,0.49,0.28,0.22,0.70,2.36,2.03,1.20
Skagit,15467,27.55,1.50,1.79,2.67,1.44,3.63,2.21,1.91,1.57,1.44,1.48,3.60,4.30
Skeena,56272,45.48,0.97,1.27,1.40,2.21,7.21,10.21,6.86,3.66,3.00,4.37,3.07,1.25
Stikine,75670,87.90,3.39,4.79,5.90,3.53,6.68,7.69,8.40,7.91,12.69,10.43,8.75,7.73
Toba,3892,7.34,0.32,0.09,0.42,0.41,0.94,0.68,0.92,0.56,0.99,0.93,0.62,0.44
WC,15882,31.45,2.26,3.00,3.99,1.20,3.07,0.84,0.84,1.07,1.28,1.90,5.66,6.34
WVI,16932,49.05,2.44,5.79,5.63,3.27,5.46,2.47,3.09,1.12,2.07,5.20,7.69,4.82
Columbia,685292,183.23,12.36,14.31,20.50,16.71,20.01,15.33,12.27,11.84,10.72,9.92,15.16,24.11
Bute,9740,17.29,0.52,0.43,0.92,0.89,1.35,2.40,3.21,3.40,2.05,0.75,0.62,0.75
Caamano,30858,61.76,2.01,2.89,4.86,3.04,4.96,4.67,4.56,7.16,7.38,8.32,6.52,5.40
EVI_N,9709,19.20,2.39,1.42,1.80,1.79,1.75,1.28,0.71,0.61,0.72,1.64,2.65,2.46
EVI_S,6510,6.63,1.16,0.57,0.50,0.72,0.70,0.23,0.14,0.25,0.32,0.22,0.82,1.00
Fraser,235396,100.43,3.67,3.06,4.75,6.75,13.51,17.14,13.79,13.35,9.00,5.23,5.96,4.23
Hakai,32520,39.99,1.19,1.04,2.51,1.50,3.98,4.59,4.64,6.26,4.91,3.63,2.99,2.76
Howe,6234,15.16,0.64,0.53,0.72,1.31,2.33,1.97,1.94,1.94,1.59,0.61,0.90,0.68
JdF,5356,8.51,1.40,0.94,0.97,0.70,0.88,0.22,0.10,0.19,0.33,0.34,1.31,1.14
Jervis,5785,7.73,0.86,0.43,0.65,0.86,0.82,0.69,0.58,0.56,0.49,0.34,0.72,0.73
Knight,19437,34.76,1.09,0.71,2.28,1.85,3.37,4.14,4.89,5.94,4.46,2.50,1.91,1.61
Nass,55242,91.55,3.05,3.63,4.41,6.05,9.81,8.96,7.44,9.91,9.66,11.10,9.85,7.68
Puget,17080,14.03,1.31,1.19,0.95,1.55,1.53,1.00,1.80,1.35,1.03,0.27,1.04,1.00
HG_Dixon,4551,8.25,0.50,0.84,0.73,0.59,0.39,0.11,0.14,0.32,0.73,1.27,1.29,1.34
HG_East,4248,16.32,1.96,1.57,1.70,1.36,0.98,0.66,0.37,0.39,0.94,2.14,2.01,2.25
HG_West,3245,10.62,0.61,1.05,1.02,0.79,0.61,0.20,0.24,0.55,1.12,1.53,1.36,1.53
