Water Year,area,Km^3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Caamano,30858,79.15,4.80,4.37,2.72,2.74,6.04,8.20,9.45,8.34,3.72,7.33,11.40,10.05
EVI_N,9709,19.84,2.26,1.73,1.45,1.73,1.75,1.62,0.88,0.57,0.25,1.58,3.51,2.51
EVI_S,6510,9.98,1.39,1.63,0.76,1.25,0.42,0.47,0.37,0.26,0.05,0.18,1.46,1.73
Fraser,235396,113.35,4.07,3.85,4.02,6.12,15.55,23.96,19.34,12.48,4.59,6.81,7.92,4.66
Hakai,32520,45.12,2.04,1.97,1.44,1.49,3.94,6.91,7.73,6.43,2.32,3.15,3.81,3.89
Howe,6234,18.58,0.65,0.84,0.72,1.38,2.30,3.30,2.81,2.37,1.05,0.80,1.59,0.77
JdF,5356,12.23,2.09,2.12,1.04,1.53,0.68,0.24,0.18,0.19,0.06,0.34,1.83,1.93
Jervis,5785,8.88,0.73,0.80,0.66,0.77,0.77,1.13,0.85,0.58,0.18,0.41,1.30,0.69
Knight,19437,38.48,1.27,0.93,1.22,1.38,3.26,5.59,7.57,6.84,3.52,2.16,3.03,1.70
Nass,55242,108.88,4.64,6.46,4.12,5.83,10.62,14.63,11.57,10.02,4.42,13.39,13.01,10.15
Puget,17080,15.50,1.31,1.85,1.43,2.12,1.58,1.79,0.71,1.19,0.20,0.40,1.60,1.32
HG_Dixon,4551,8.97,0.60,0.93,0.52,0.53,0.39,0.18,0.17,0.31,0.24,1.03,1.98,2.09
HG_East,4248,17.69,2.63,1.55,1.56,1.39,1.17,0.83,0.45,0.42,1.02,2.23,2.11,2.33
HG_West,3245,11.06,0.68,1.12,0.64,0.79,0.64,0.28,0.28,0.53,0.32,1.08,2.18,2.51
Skagit,15467,30.10,2.37,2.78,2.42,3.24,3.59,3.96,2.29,1.59,0.80,1.21,3.46,2.41
Skeena,56272,53.52,1.20,1.34,0.99,1.79,8.52,12.15,7.90,4.70,1.95,5.64,4.44,2.89
Stikine,75670,92.61,4.81,6.28,3.99,4.49,6.65,10.43,10.33,10.76,5.70,9.45,10.50,9.22
Toba,3892,8.44,0.32,0.43,0.38,0.63,0.90,1.30,1.03,0.85,0.83,0.68,0.75,0.34
WC,15882,31.09,4.39,5.38,2.59,3.76,1.77,1.12,0.51,1.09,0.28,0.78,5.39,4.04
WVI,16932,48.51,4.65,5.83,2.27,4.01,3.25,2.28,3.75,3.08,0.64,1.48,8.54,8.72
Columbia,685292,207.43,16.10,17.82,19.41,29.60,25.86,22.95,15.06,12.52,8.37,9.38,15.37,15.01
Bute,9740,16.68,0.80,0.49,0.25,0.64,1.13,2.70,3.17,2.94,1.93,0.95,0.95,0.74
Caamano,30858,80.42,6.96,3.69,2.83,4.15,7.08,7.56,6.56,5.13,11.21,9.74,8.82,6.67
EVI_N,9709,19.88,3.23,1.66,1.19,1.66,1.51,1.50,0.70,0.44,0.55,1.94,3.10,2.41
EVI_S,6510,9.54,2.60,1.14,0.42,1.21,0.35,0.51,0.27,0.15,0.16,0.53,1.14,1.07
Fraser,235396,106.11,5.41,3.54,2.86,7.58,13.45,18.60,15.72,9.66,10.57,6.67,7.36,4.68
Hakai,32520,47.07,3.51,2.10,0.97,2.02,4.32,6.09,5.42,5.00,6.54,4.06,3.79,3.26
Howe,6234,16.80,1.20,0.57,0.38,1.36,1.48,3.26,2.23,1.64,1.40,1.25,1.36,0.66
JdF,5356,11.26,3.44,1.17,0.48,1.53,0.24,0.33,0.15,0.10,0.24,0.69,1.57,1.31
Jervis,5785,8.73,1.48,0.63,0.34,0.74,0.59,1.08,0.62,0.40,0.36,0.65,1.12,0.71
Knight,19437,35.94,2.47,0.92,0.64,1.76,3.17,5.27,5.16,5.21,4.32,2.91,2.58,1.53
Nass,55242,105.16,8.22,3.89,2.86,8.75,12.19,15.14,11.35,6.44,11.55,10.75,8.84,5.18
Puget,17080,14.14,1.95,1.27,0.48,1.75,0.50,1.76,1.87,0.61,0.76,0.51,1.29,1.38
HG_Dixon,4551,8.12,1.50,0.82,0.43,0.81,0.44,0.17,0.12,0.15,0.73,1.17,1.14,0.63
HG_East,4248,18.76,2.16,1.59,1.96,1.41,1.04,0.77,0.39,0.44,0.93,2.40,2.40,3.26
HG_West,3245,10.73,1.92,1.13,0.58,1.10,0.69,0.31,0.20,0.26,1.07,1.48,1.25,0.74
Skagit,15467,26.84,3.15,2.18,1.25,2.87,1.85,3.50,2.91,1.19,1.28,1.35,2.81,2.52
Skeena,56272,55.29,1.80,0.95,0.89,2.62,9.88,13.40,7.96,3.39,5.23,4.54,2.95,1.69
Stikine,75670,93.26,7.86,4.74,2.59,5.44,5.88,9.82,9.52,6.77,15.32,10.62,8.12,6.58
Toba,3892,8.06,0.61,0.41,0.16,0.73,0.71,1.25,0.73,0.58,0.96,0.77,0.65,0.51
WC,15882,28.40,7.61,2.79,1.17,3.98,0.65,0.96,0.53,0.50,0.87,1.79,4.01,3.53
WVI,16932,46.97,10.54,4.34,1.44,4.17,3.03,2.77,0.96,1.72,2.46,4.79,6.14,4.61
Columbia,685292,196.36,19.28,16.71,11.99,30.59,19.83,20.32,15.34,11.12,9.79,10.02,13.82,17.57
Bute,9740,14.33,0.42,0.22,0.33,0.84,1.52,2.30,2.82,2.59,1.35,0.67,0.59,0.69
Caamano,30858,69.88,4.37,4.28,3.02,4.55,8.10,6.85,7.62,5.56,2.31,7.94,9.66,5.60
EVI_N,9709,18.97,2.30,1.19,1.55,1.82,1.94,1.51,0.99,0.51,0.32,1.61,2.47,2.74
EVI_S,6510,9.95,1.37,0.45,1.56,1.48,1.00,0.54,0.40,0.19,0.06,0.27,0.50,2.13
Fraser,235396,96.90,3.52,2.44,3.85,7.95,14.06,20.77,15.52,9.81,4.07,5.18,5.53,4.20
Hakai,32520,38.30,1.20,0.76,1.04,2.46,5.21,5.77,5.02,5.34,1.97,3.38,4.24,1.91
Howe,6234,14.51,0.67,0.34,0.76,1.39,2.14,2.15,2.29,1.46,0.79,0.79,0.68,1.06
JdF,5356,10.55,1.80,0.54,1.67,1.56,1.09,0.35,0.19,0.07,0.06,0.52,0.85,1.84
Jervis,5785,7.78,0.81,0.30,0.67,0.89,0.87,0.80,0.77,0.41,0.19,0.39,0.49,1.19
Knight,19437,29.60,1.05,0.46,0.88,2.07,4.31,4.59,4.29,4.39,2.41,1.75,2.08,1.32
Nass,55242,77.11,3.59,4.43,4.11,5.76,9.59,11.85,8.40,6.05,4.00,6.27,8.49,4.57
Puget,17080,14.89,1.15,0.49,1.32,2.15,1.92,2.51,2.15,0.45,0.20,0.39,0.51,1.65
HG_Dixon,4551,5.83,0.56,0.52,0.74,0.53,0.35,0.32,0.12,0.10,0.18,0.70,1.05,0.67
HG_East,4248,18.68,2.40,2.21,1.56,1.54,1.22,0.65,0.45,0.46,0.86,2.44,2.00,2.88
HG_West,3245,7.86,0.58,0.48,1.16,0.86,0.62,0.70,0.21,0.19,0.22,0.97,1.00,0.87
Skagit,15467,26.67,2.22,1.24,2.23,3.18,3.45,4.05,2.98,1.07,0.80,1.18,1.48,2.79
Skeena,56272,42.17,1.10,1.27,0.96,2.03,7.45,10.24,6.69,3.22,1.69,2.73,3.46,1.32
Stikine,75670,74.15,3.98,3.45,4.36,5.20,7.31,9.28,9.12,6.72,5.02,7.06,5.95,6.70
Toba,3892,7.11,0.31,0.15,0.26,0.93,1.06,0.99,0.87,0.58,0.59,0.47,0.31,0.61
WC,15882,27.45,3.46,1.25,3.55,4.23,2.77,2.25,1.03,0.31,0.28,1.17,1.88,5.28
WVI,16932,45.96,5.01,1.68,4.68,5.53,7.47,4.49,1.69,2.49,0.65,1.76,3.56,6.95
Columbia,685292,197.81,16.79,11.44,20.45,31.85,23.75,22.14,15.41,11.28,8.41,9.01,9.94,17.33
Bute,9740,16.11,0.62,0.46,0.46,0.54,0.83,2.46,2.98,3.01,1.56,1.51,0.98,0.71
Caamano,30858,88.39,5.55,4.28,3.82,5.82,8.78,8.27,7.07,6.04,10.75,10.87,10.31,6.82
EVI_N,9709,20.35,2.36,1.74,1.48,1.64,1.48,1.55,0.72,0.57,0.52,2.14,3.35,2.80
EVI_S,6510,10.54,1.15,1.80,1.21,0.86,0.52,0.61,0.19,0.12,0.21,0.57,1.15,2.16
Fraser,235396,105.45,5.09,4.68,3.83,6.57,13.55,21.73,14.56,10.22,7.25,6.91,6.54,4.52
Hakai,32520,51.17,2.72,2.24,1.91,2.69,4.20,6.42,5.94,5.73,6.30,5.49,4.27,3.26
Howe,6234,15.13,0.69,0.72,0.71,0.85,1.36,2.47,2.20,1.53,1.05,1.35,1.21,0.98
JdF,5356,13.15,1.47,2.32,1.62,0.81,0.52,0.49,0.08,0.04,0.24,1.09,1.93,2.54
Jervis,5785,8.21,0.86,0.62,0.65,0.54,0.55,0.93,0.72,0.45,0.25,0.74,0.97,0.92
Knight,19437,36.23,1.53,1.00,1.40,1.87,2.20,4.67,4.99,5.40,3.89,4.28,3.10,1.89
Nass,55242,103.95,6.51,5.49,5.09,7.41,10.77,12.58,8.90,6.54,10.06,12.15,10.52,7.94
Puget,17080,14.34,1.09,1.76,1.11,1.23,1.07,1.72,0.71,0.35,0.44,1.20,1.49,2.19
HG_Dixon,4551,7.17,1.07,0.88,0.67,0.61,0.53,0.29,0.22,0.10,0.30,0.78,0.99,0.74
HG_East,4248,20.13,2.15,1.58,1.68,1.33,1.04,0.70,0.39,0.38,1.43,3.46,2.56,3.42
HG_West,3245,9.25,1.18,1.12,0.93,0.88,0.82,0.54,0.37,0.14,0.39,0.95,1.01,0.92
Skagit,15467,27.41,2.10,2.69,1.94,2.26,2.57,3.17,1.81,1.01,0.94,2.36,3.21,3.33
Skeena,56272,51.52,1.71,1.15,1.23,2.81,8.44,11.35,6.70,4.04,4.54,4.19,3.43,1.93
Stikine,75670,94.67,5.65,6.39,4.53,4.75,6.23,9.33,7.71,6.62,12.61,13.03,8.80,9.02
Toba,3892,7.76,0.41,0.38,0.31,0.57,0.52,1.09,0.76,0.77,0.66,1.15,0.62,0.53
WC,15882,35.23,4.00,5.05,3.07,2.13,1.57,2.00,0.63,0.32,0.67,2.65,5.39,7.75
WVI,16932,54.19,4.26,6.72,3.70,4.05,3.60,4.80,1.17,1.51,2.85,4.83,8.19,8.51
Columbia,685292,193.77,17.15,19.17,16.07,23.53,19.35,19.65,12.90,10.47,9.13,12.10,15.30,18.94
Bute,9740,16.79,0.45,0.36,0.49,0.44,0.88,2.39,3.69,3.22,1.36,1.46,1.36,0.69
Caamano,30858,65.08,2.66,3.16,3.02,3.39,4.27,5.69,8.17,6.41,2.74,12.14,7.28,6.14
EVI_N,9709,21.76,2.69,1.46,1.82,1.66,1.98,1.51,0.97,0.55,0.27,2.29,3.97,2.60
EVI_S,6510,12.76,2.14,1.24,1.81,0.89,0.55,0.48,0.37,0.22,0.09,0.73,1.92,2.32
Fraser,235396,107.68,3.81,3.80,3.96,6.90,11.10,18.66,18.40,13.39,4.44,8.25,9.61,5.37
Hakai,32520,42.08,1.35,1.65,1.42,1.88,2.76,5.44,7.00,6.21,1.78,5.69,4.16,2.75
Howe,6234,16.53,0.84,0.69,0.75,0.81,1.53,2.09,2.56,1.88,0.84,1.65,1.72,1.17
JdF,5356,14.54,1.93,2.13,1.63,0.92,0.28,0.30,0.24,0.17,0.13,1.35,3.08,2.37
Jervis,5785,9.71,1.20,0.50,0.91,0.55,0.70,0.84,0.86,0.54,0.16,0.85,1.43,1.17
Knight,19437,35.41,1.05,0.72,1.22,1.22,1.85,4.60,6.94,5.69,2.58,4.22,3.85,1.48
Nass,55242,90.33,3.62,3.49,4.85,5.07,7.62,11.79,10.70,8.69,4.01,11.50,12.06,6.92
Puget,17080,17.60,1.57,1.72,1.61,1.27,1.03,1.32,1.93,1.19,0.53,1.18,2.30,1.95
HG_Dixon,4551,9.05,1.02,0.84,1.04,0.61,0.23,0.21,0.19,0.23,0.27,1.44,1.71,1.27
HG_East,4248,16.50,1.99,1.51,1.54,1.32,1.02,0.65,0.48,0.41,0.91,2.27,1.95,2.45
HG_West,3245,12.52,1.42,1.21,1.56,0.92,0.35,0.41,0.30,0.40,0.42,1.92,1.98,1.64
Skagit,15467,32.41,2.88,2.71,2.61,2.44,2.88,3.19,3.15,1.58,1.09,2.27,4.54,3.08
Skeena,56272,42.43,0.79,0.77,1.05,1.75,6.44,9.96,6.81,4.03,1.62,4.01,3.44,1.76
Stikine,75670,93.94,4.68,4.79,4.97,3.85,4.86,9.39,10.73,9.82,6.96,13.89,11.27,8.74
Toba,3892,8.50,0.41,0.28,0.42,0.50,0.65,0.97,1.15,0.86,0.58,1.17,0.92,0.58
WC,15882,36.95,5.15,4.24,3.67,2.32,0.81,1.29,0.99,1.09,0.76,3.10,7.74,5.80
WVI,16932,53.80,5.92,4.07,4.42,3.28,2.12,3.12,3.54,1.80,1.07,6.62,10.93,6.90
Columbia,685292,228.77,22.21,18.05,21.09,28.69,24.51,24.93,16.86,13.09,9.81,11.55,17.31,20.67
Bute,9740,18.25,0.66,0.37,0.32,0.82,1.22,2.68,3.54,3.57,2.26,1.25,1.04,0.52
Caamano,30858,74.61,5.11,2.73,2.87,7.77,5.59,9.07,6.80,7.26,5.84,10.86,5.71,4.99
EVI_N,9709,19.93,2.60,1.53,1.30,1.95,1.91,1.38,0.81,0.50,0.62,2.06,2.82,2.45
EVI_S,6510,10.39,1.57,1.15,0.70,1.53,0.89,0.30,0.27,0.09,0.23,0.73,0.81,2.12
Fraser,235396,120.22,4.99,3.41,3.28,8.10,17.49,21.58,18.01,12.71,9.61,8.13,8.01,4.92
Hakai,32520,49.29,3.58,1.31,1.35,3.61,4.15,6.96,5.86,6.31,5.13,5.25,2.87,2.92
Howe,6234,18.01,0.86,0.52,0.51,1.70,2.58,2.23,2.22,1.81,1.48,1.98,1.24,0.87
JdF,5356,14.08,2.49,1.91,0.71,1.78,0.92,0.18,0.12,0.06,0.19,1.41,1.58,2.72
Jervis,5785,8.99,0.93,0.45,0.49,0.99,0.97,0.80,0.69,0.45,0.45,0.92,0.97,0.90
Knight,19437,38.61,2.32,0.77,0.83,2.77,2.82,5.11,5.84,6.33,4.54,3.49,2.37,1.43
Nass,55242,100.08,6.10,5.32,3.62,9.20,10.12,12.52,9.99,7.40,7.77,13.31,8.11,6.63
Puget,17080,18.29,1.84,2.47,0.71,2.19,2.18,0.73,1.16,0.49,0.72,1.27,1.43,3.10
HG_Dixon,4551,9.01,1.24,0.75,0.61,0.91,0.43,0.23,0.16,0.15,0.42,1.50,1.20,1.41
HG_East,4248,16.80,1.90,1.51,1.59,1.45,1.00,0.82,0.40,0.49,0.90,2.40,2.04,2.29
HG_West,3245,12.41,1.68,0.82,0.84,1.46,0.73,0.44,0.27,0.21,0.62,2.06,1.34,1.92
Skagit,15467,33.43,3.11,3.57,1.52,3.44,4.08,2.67,2.57,1.17,1.23,2.37,3.07,4.64
Skeena,56272,49.37,1.41,1.06,0.95,3.16,8.13,11.30,7.53,3.89,2.87,4.71,2.90,1.48
Stikine,75670,101.03,6.46,5.52,3.20,6.50,7.53,9.67,9.47,7.85,12.66,15.01,7.87,9.29
Toba,3892,8.67,0.41,0.29,0.21,0.92,0.91,0.97,0.84,0.78,1.21,1.05,0.66,0.42
WC,15882,37.04,5.54,4.91,1.51,4.25,2.28,0.82,0.65,0.44,0.87,3.64,4.26,7.88
WVI,16932,50.38,7.44,3.85,2.52,7.04,4.12,2.37,1.88,1.81,2.38,5.84,3.97,7.16
Columbia,685292,242.93,23.37,23.59,14.56,35.25,29.38,24.25,16.62,11.89,10.11,12.33,15.99,25.60
Bute,9740,16.83,0.48,0.44,0.54,0.22,1.09,2.66,3.57,2.78,2.01,1.73,0.63,0.69
Caamano,30858,87.17,5.65,5.06,5.30,5.53,6.12,10.04,8.70,5.81,5.76,10.98,7.38,10.84
EVI_N,9709,20.90,2.35,1.44,1.86,1.63,1.83,1.61,0.89,0.48,0.69,2.41,2.85,2.86
EVI_S,6510,12.35,1.89,0.71,2.08,1.50,1.10,0.70,0.30,0.22,0.30,0.81,0.95,1.78
Fraser,235396,121.38,5.36,3.72,5.67,7.32,16.13,23.77,21.21,10.44,9.32,8.65,5.55,4.23
Hakai,32520,53.34,2.56,2.67,2.76,2.36,4.80,7.68,7.22,5.48,4.09,5.75,3.50,4.49
Howe,6234,19.45,1.09,0.57,1.31,1.20,2.51,3.40,2.70,1.86,1.53,1.80,0.71,0.78
JdF,5356,15.49,3.19,1.22,2.45,1.50,1.04,0.58,0.29,0.17,0.33,1.46,1.24,2.04
Jervis,5785,9.58,1.09,0.46,1.20,0.68,0.96,1.12,0.78,0.43,0.42,0.98,0.60,0.85
Knight,19437,39.42,1.46,0.90,1.69,1.24,3.40,5.75,6.52,5.10,4.32,4.79,2.17,2.08
Nass,55242,106.10,7.00,5.34,6.75,7.30,10.55,15.09,11.72,6.83,8.02,14.34,4.95,8.22
Puget,17080,18.61,2.24,1.21,2.12,1.50,1.70,2.58,1.93,0.80,1.03,1.35,0.94,1.20
HG_Dixon,4551,9.86,1.24,0.83,1.28,0.69,0.35,0.40,0.32,0.22,0.59,1.51,0.82,1.60
HG_East,4248,17.40,2.18,1.68,1.55,1.43,1.12,0.67,0.41,0.40,0.93,2.23,2.24,2.56
HG_West,3245,13.77,1.55,0.94,1.99,1.07,0.62,0.77,0.54,0.41,0.96,1.86,0.97,2.11
Skagit,15467,32.64,3.64,2.14,3.20,2.54,3.52,4.65,3.23,1.39,1.48,2.51,2.17,2.18
Skeena,56272,51.97,1.61,1.20,1.38,2.57,8.30,12.70,8.28,3.73,3.24,4.75,1.84,2.38
Stikine,75670,108.43,7.06,4.86,6.92,5.21,7.47,12.02,11.83,8.29,14.95,15.64,5.55,8.64
Toba,3892,8.37,0.35,0.32,0.46,0.36,0.82,1.19,0.97,0.52,1.08,1.41,0.38,0.49
WC,15882,39.27,7.10,2.95,5.86,3.27,2.58,2.48,1.58,0.93,1.40,3.68,3.19,4.25
WVI,16932,67.43,6.88,3.25,6.86,5.74,6.52,6.29,3.70,2.58,3.23,6.52,5.71,10.15
Columbia,685292,228.62,23.06,15.37,25.39,31.04,27.13,26.72,17.94,13.07,10.82,12.47,11.46,14.16
Bute,9740,17.03,0.66,0.54,0.43,0.43,1.35,2.58,3.43,2.90,1.58,1.03,1.22,0.90
Caamano,30858,74.95,3.51,3.38,2.11,6.11,4.59,6.12,8.60,8.03,6.04,11.61,5.09,9.76
EVI_N,9709,21.79,3.09,1.95,1.48,1.55,2.01,1.63,0.94,0.34,0.22,2.01,3.69,2.90
EVI_S,6510,11.87,2.39,1.73,0.85,0.41,0.55,0.40,0.38,0.06,0.05,0.52,1.92,2.60
Fraser,235396,97.98,4.00,3.09,4.47,5.62,13.23,17.42,15.59,8.77,5.31,7.66,6.83,5.99
Hakai,32520,45.69,2.13,1.28,1.47,2.37,4.07,5.49,6.54,5.74,3.25,5.64,2.92,4.78
Howe,6234,14.84,0.69,0.54,0.64,0.59,2.02,1.93,1.99,1.40,0.79,1.26,1.59,1.39
JdF,5356,14.62,2.94,1.51,1.25,0.38,0.57,0.21,0.23,0.04,0.07,0.68,3.09,3.64
Jervis,5785,9.12,1.11,0.76,0.60,0.33,0.74,0.84,0.73,0.37,0.18,0.66,1.50,1.30
Knight,19437,36.72,1.95,0.89,1.12,1.41,3.25,5.15,6.35,5.26,3.22,2.95,3.03,2.13
Nass,55242,86.36,5.81,3.67,3.95,4.65,8.44,10.97,9.02,7.43,3.78,10.52,7.93,10.19
Puget,17080,16.71,2.34,1.47,1.36,0.75,2.02,1.38,1.17,0.27,0.20,0.65,2.18,2.95
HG_Dixon,4551,8.78,1.71,1.19,0.74,0.45,0.29,0.18,0.19,0.20,0.17,1.05,1.07,1.53
HG_East,4248,17.94,1.97,1.63,1.41,1.70,0.99,0.78,0.46,0.46,1.22,2.58,2.24,2.50
HG_West,3245,12.11,2.31,1.60,1.06,0.73,0.50,0.30,0.37,0.32,0.26,1.47,1.26,1.95
Skagit,15467,31.98,3.66,2.45,2.29,1.89,4.09,3.16,2.58,1.02,0.80,1.44,4.21,4.39
Skeena,56272,41.48,1.13,0.85,0.83,2.01,6.38,8.96,6.34,4.08,2.05,4.41,1.93,2.52
Stikine,75670,88.49,6.36,4.65,4.19,3.29,6.34,9.01,9.76,7.05,6.15,11.30,8.75,11.65
Toba,3892,8.05,0.50,0.52,0.31,0.37,0.86,1.03,0.89,0.50,0.64,0.83,0.90,0.69
WC,15882,38.10,7.39,4.12,3.31,1.04,1.68,0.86,0.96,0.22,0.28,1.79,7.84,8.62
WVI,16932,52.63,8.55,6.17,3.19,1.89,3.04,2.32,3.69,0.88,0.90,3.92,8.01,10.06
Columbia,685292,216.31,24.25,18.22,18.91,22.64,25.29,21.43,14.63,10.93,8.74,10.16,17.15,23.95
Bute,9740,19.78,0.85,0.57,0.43,0.38,1.80,3.16,3.97,3.95,2.20,0.85,0.77,0.83
Caamano,30858,90.76,7.29,5.21,3.53,6.22,9.72,10.37,8.06,8.82,6.64,8.50,9.20,7.19
EVI_N,9709,21.65,3.04,2.09,1.78,1.55,2.04,1.58,0.84,0.53,0.39,1.84,3.33,2.64
EVI_S,6510,12.55,2.31,2.10,1.82,0.69,0.67,0.57,0.22,0.12,0.08,0.55,1.49,1.94
Fraser,235396,121.00,5.50,4.28,3.91,6.49,17.93,25.34,20.80,12.53,7.00,5.32,7.03,4.86
Hakai,32520,52.77,3.49,2.13,1.68,2.71,6.04,8.25,6.53,7.29,4.92,3.58,3.27,2.89
Howe,6234,17.86,0.96,0.90,0.74,0.75,2.42,3.19,2.68,2.04,1.07,1.08,1.11,0.92
JdF,5356,15.67,3.07,2.73,1.75,0.58,0.66,0.37,0.14,0.13,0.08,1.14,2.22,2.81
Jervis,5785,9.81,1.35,0.87,0.93,0.43,1.03,1.17,0.80,0.48,0.22,0.56,0.97,0.98
Knight,19437,41.05,2.38,1.15,1.24,1.56,4.52,6.15,6.25,7.03,4.47,2.36,2.34,1.62
Nass,55242,106.18,5.94,7.26,3.93,5.40,13.89,14.73,10.14,9.26,6.49,11.90,8.78,8.47
Puget,17080,16.83,2.15,2.48,1.41,0.58,1.53,1.43,1.38,0.97,0.21,0.79,1.88,2.02
HG_Dixon,4551,9.58,0.94,1.41,0.94,0.49,0.67,0.24,0.12,0.25,0.40,1.41,1.45,1.26
HG_East,4248,17.82,2.46,1.61,1.65,1.63,1.02,0.81,0.47,0.43,0.90,2.11,2.26,2.47
HG_West,3245,12.79,1.22,1.83,1.50,0.68,1.05,0.44,0.21,0.44,0.56,1.68,1.77,1.42
Skagit,15467,31.36,3.40,3.62,2.32,1.65,3.39,3.24,2.80,1.54,0.80,1.71,3.66,3.22
Skeena,56272,51.53,1.41,1.40,0.89,2.25,9.43,11.93,7.34,5.01,3.04,3.93,2.80,2.09
Stikine,75670,100.13,7.04,7.67,4.62,3.53,8.45,11.65,10.46,9.93,8.26,10.91,8.88,8.76
Toba,3892,9.30,0.62,0.54,0.38,0.39,1.24,1.36,0.98,0.87,1.06,0.69,0.56,0.62
WC,15882,39.83,6.50,6.32,4.17,1.31,2.07,1.71,0.79,0.66,0.28,2.35,6.55,7.13
WVI,16932,56.49,8.26,8.57,5.40,3.31,4.31,4.52,0.97,1.98,1.29,3.39,7.66,6.83
Columbia,685292,223.05,21.98,24.45,18.90,22.77,27.57,25.07,16.66,13.23,8.51,10.36,15.68,17.85
Bute,9740,14.42,0.27,0.14,0.80,0.36,1.31,2.01,3.02,2.50,1.57,1.25,0.60,0.59
Caamano,30858,78.03,5.10,2.41,4.77,5.28,6.95,7.15,8.48,6.63,8.07,10.11,8.48,4.59
EVI_N,9709,18.34,2.15,1.33,1.80,1.40,1.79,1.51,0.76,0.40,0.44,1.91,2.53,2.32
EVI_S,6510,8.64,1.49,0.91,0.99,0.48,0.81,0.79,0.35,0.08,0.21,0.50,0.60,1.43
Fraser,235396,104.36,4.02,2.87,4.80,5.72,15.12,19.01,18.65,10.45,8.06,7.46,4.35,3.84
Hakai,32520,44.00,1.94,0.76,2.10,2.65,4.53,5.14,5.69,5.26,4.56,5.56,3.35,2.45
Howe,6234,15.84,0.55,0.33,0.96,0.61,2.29,3.03,2.29,1.36,1.31,1.55,0.72,0.84
JdF,5356,9.90,1.97,0.95,1.35,0.68,1.16,0.46,0.21,0.05,0.21,0.72,0.85,1.29
Jervis,5785,7.89,0.67,0.34,0.93,0.29,0.76,1.08,0.74,0.33,0.43,0.77,0.61,0.94
Knight,19437,30.96,0.86,0.42,1.84,1.58,3.74,3.55,5.09,4.60,3.10,3.21,1.80,1.17
Nass,55242,93.85,6.01,2.62,5.83,7.24,11.61,12.69,10.02,7.40,8.27,9.55,6.24,6.37
Puget,17080,13.12,1.53,1.51,1.16,0.92,1.96,1.65,1.05,0.39,0.70,0.66,0.63,0.95
HG_Dixon,4551,8.04,1.29,0.58,0.72,0.64,0.51,0.24,0.24,0.16,0.39,1.07,0.85,1.34
HG_East,4248,18.12,2.10,1.85,2.01,1.46,1.06,0.68,0.44,0.54,0.98,2.51,2.29,2.19
HG_West,3245,10.66,1.61,0.79,0.97,0.86,0.87,0.43,0.38,0.24,0.49,1.42,0.97,1.62
Skagit,15467,25.73,2.74,2.43,2.00,1.93,3.61,3.26,2.36,1.09,1.23,1.51,1.70,1.88
Skeena,56272,44.58,1.45,0.70,1.35,2.48,7.24,9.55,6.70,3.57,3.67,3.93,2.30,1.64
Stikine,75670,87.43,5.60,3.65,5.30,3.96,7.89,9.78,9.91,7.33,11.89,10.71,5.20,6.19
Toba,3892,6.95,0.20,0.12,0.57,0.29,0.88,0.98,0.85,0.44,0.82,0.98,0.36,0.47
WC,15882,26.45,5.09,2.76,2.87,1.89,2.94,2.28,0.70,0.40,0.94,1.79,1.91,2.89
WVI,16932,46.06,4.75,3.51,4.38,3.07,6.49,4.75,3.54,1.79,2.33,3.57,3.46,4.41
Columbia,685292,202.03,21.54,18.92,18.59,23.97,25.47,22.88,15.06,11.24,9.50,10.47,10.50,13.91
Bute,9740,15.52,0.37,0.35,0.56,0.63,1.07,2.16,2.72,2.83,1.34,1.67,0.91,0.91
Caamano,30858,88.41,6.87,1.82,5.50,4.11,9.69,6.34,6.44,8.05,10.06,12.22,10.45,6.86
EVI_N,9709,19.67,2.02,1.36,1.53,1.64,1.64,1.36,0.75,0.58,0.44,2.12,3.42,2.79
EVI_S,6510,9.03,1.12,0.49,0.88,0.96,0.64,0.43,0.20,0.20,0.19,0.48,1.55,1.90
Fraser,235396,99.52,3.40,2.66,4.87,5.20,12.12,19.02,16.91,10.60,6.52,7.46,5.75,5.01
Hakai,32520,50.02,2.28,1.03,2.70,2.59,5.70,5.75,5.13,6.42,4.62,5.97,4.96,2.88
Howe,6234,16.68,0.71,0.35,0.84,1.36,1.98,2.74,1.87,1.67,1.02,1.88,1.06,1.19
JdF,5356,11.78,1.54,0.64,1.29,1.22,0.75,0.36,0.12,0.19,0.13,1.10,1.95,2.48
Jervis,5785,8.76,0.82,0.35,0.64,0.77,0.71,0.92,0.59,0.48,0.30,0.90,1.13,1.15
Knight,19437,35.27,1.13,0.64,1.69,2.13,3.70,4.21,4.28,5.39,2.80,4.42,2.98,1.90
Nass,55242,102.42,5.15,2.57,5.68,8.23,11.97,10.88,8.37,9.22,9.00,15.19,9.20,6.95
Puget,17080,14.88,0.83,0.72,1.15,1.25,1.40,2.32,1.00,1.15,0.24,1.08,1.57,2.17
HG_Dixon,4551,9.73,1.49,0.46,0.98,0.62,0.66,0.23,0.19,0.30,0.66,1.61,1.14,1.40
HG_East,4248,17.51,2.17,1.60,1.74,1.38,1.09,0.75,0.44,0.42,0.92,2.24,2.36,2.39
